team,goals_for,goals_against
Uganda,1.4152154306777487,0.7147818108285565
Ukraine,2.440194717732894,0.7787354332110681
United Arab Emirates,0.2953413025327628,5.406672449838539
United Koreans in Japan,0.20629866492034937,4.69130701164813
United States,0.40097997131372703,4.196741584824349
United States Virgin Islands,0.21236408946823013,12.540913860487514
Uruguay,2.375360555039469,0.4955210944151325
Uzbekistan,2.780904980930612,0.4494849712643479
Vanuatu,1.4995833884539735,2.5038200822642693
Venezuela,1.6547884033605518,0.9733545143926544
Vietnam,1.9677827980228564,0.9623298751842466
Vietnam Republic,0.31953585620946606,8.324388333543515
Wales,2.406863188167022,0.6810711667271448
Wallis Islands and Futuna,0.1668225788282537,30.990705714904784
Western Armenia,0.4055338097138986,6.1035991423735565
Western Australia,0.3533253905159646,9.041460268767487
Western Isles,0.2434148677626979,10.242156712413335
Western Sahara,0.440103397628034,15.991569524344724
Yemen,1.1676796427837919,1.9088263948754978
Yemen DPR,0.1491957845659376,10.946416868639227
Ynys Môn,0.3889939233669169,6.275735067919602
Yorkshire,0.2,0.0
Yoruba Nation,0.09995208761489144,5.0
Yugoslavia,0.41163100333029456,5.169767918320914
Zambia,1.545386222419502,0.8764292829787759
Zanzibar,0.24453478580032695,4.789263206452581
Zimbabwe,1.202602635476729,1.0450749931657675
Åland Islands,0.18161445071621748,8.862735615857066
